"","amp_coeff","peak_time"
"AT1G01010",15.1966752747498,6.82814953544924
"AT1G01070",-13.887900377709,7.2148481153021
"AT1G01080",-11.8002485821713,7.25939975812978
"AT1G01140",-4.03133754883108,5.9815100675285
"AT1G01240",-23.8656195893377,8.13921919597597
"AT1G01320",-2880.36337047361,28.3223386211342
"AT1G01340",24.0006262796456,5.526071137983
"AT1G01420",-4.01575080330638,4.80359264492734
"AT1G01430",-6.70541641484202,5.71370293372375
"AT1G01480",30.8734856347568,6.40715662378283
"AT1G01550",9.50571176684332,5.71534327609518
"AT1G01560",47.8085825605515,4.65801044818767
"AT1G01680",50.7199502315752,5.46397273644758
"AT1G01720",9.69803600238329,5.74461969313138
"AT1G01860",-15.3723580292931,6.98767107130379
"AT1G01970",-12.2212374543958,6.91180436277894
"AT1G02170",19.8304463138976,6.08307714468379
"AT1G02220",23.7272796599265,7.45459456202778
"AT1G02270",17.9442205161361,5.49144864913575
"AT1G02290",-287.970455091345,17.9398356576221
"AT1G02300",-10.1628942383322,5.82699161601633
"AT1G02360",273.486949895916,17.678949343343
"AT1G02390",20.9228941199034,5.99824252440868
"AT1G02400",19.8715742462549,4.71987265561204
"AT1G02450",43.2937853371449,6.28888002048695
"AT1G02660",9.28675315345848,3.68995973372985
"AT1G02740",6.93821055642944,4.97861959057063
"AT1G02850",NA,NA
"AT1G02920",59.5723490464535,6.38527790185657
"AT1G02930",51.7648508544499,6.29206627032502
"AT1G03220",12.2105665876387,4.77356375629699
"AT1G03230",14.8700491048954,5.7408061917875
"AT1G03290",14.8256242863663,6.90643941584018
"AT1G03310",-19.8205975458025,8.04580358014891
"AT1G03370",21.4879152715695,6.08703745736833
"AT1G03495",15.5838509802286,4.63064098036895
"AT1G03600",-18.8705399399479,7.69199798362986
"AT1G03630",-41.4425823446608,10.3560626332802
"AT1G03660",15.7177880090168,5.42856158351767
"AT1G03730",17.470202047061,4.6342133551814
"AT1G03740",13.3565772525806,4.48486821897649
"AT1G03850",36.9270974668282,5.82055517647877
"AT1G03930",-5.59161618223926,5.61076476905667
"AT1G04100",11.0369357985202,5.68200205406756
"AT1G04240",-95.0521824843048,10.8346828406699
"AT1G04250",-18.0746296025761,8.15723455688514
"AT1G04280",7.6907610194261,6.10348345494954
"AT1G04290",14.7911563504486,7.55441519411407
"AT1G04350",-40.7730802589279,9.68939835340374
"AT1G04490",33.2104654270135,7.61940500466404
"AT1G04520",-4.52111744836473,5.89414649932189
"AT1G04550",-30.2398926724115,8.59352081666471
"AT1G05010",14.9138463916992,6.63584803807763
"AT1G05020",10.8030298255447,5.70022315592597
"AT1G05070",-20.9958665869062,7.8765545615863
"AT1G05100",7.40530553849996,5.52310606955878
"AT1G05140",-920.617452602011,29.2289727403613
"AT1G05200",-8.9398778426282,5.89319494276921
"AT1G05340",141.698582352753,10.152239403186
"AT1G05385",-155.325658317844,16.2177215348165
"AT1G05560",4.25260852522524,5.47778872794199
"AT1G05562",-18.7496904297018,6.37301928894663
"AT1G05575",32.2207095892519,4.46978995146309
"AT1G05675",35.5643041806061,4.58289354349071
"AT1G05680",12.1999155098122,5.41441425187578
"AT1G05690",-34433.6344915898,575.861069310614
"AT1G05710",29.8208816060965,7.79755259017158
"AT1G05870",-10.8232555928038,6.17107360313444
"AT1G05880",30.5832622975937,5.79641091339235
"AT1G05900",-36168.2841729956,119.412055921016
"AT1G06040",-7.55710433586741,6.07793734210771
"AT1G06160",16.8253308944704,6.23059301810823
"AT1G06240",-23568.0842307385,87.7172758192746
"AT1G06460",-13.6669517013454,6.58246561146156
"AT1G06620",12.5056550218243,5.90088090980495
"AT1G06645",-15836.1301831864,44.2239698654788
"AT1G06960",-7607.44693927741,93.8234357576245
"AT1G07000",22.3572593499962,4.80062335226917
"AT1G07010",-37086.6414037912,201.345131539429
"AT1G07020",29.6602179258754,9.22218280216459
"AT1G07030",6.53355901784676,5.52966795057727
"AT1G07050",-23612.0802866799,115.204337297006
"AT1G07128",19.3466297361692,4.6502080807847
"AT1G07135",36.765984849355,4.12459372971721
"AT1G07160",12.1185175238316,4.59423638863799
"AT1G07240",5.48687528223398,4.99466172282942
"AT1G07250",-8.8317839410677,5.95762513351052
"AT1G07280",-16.5332471775727,6.27856442857778
"AT1G07350",22.5189831725128,7.38530407331548
"AT1G07400",49.8977695807914,6.24184970948362
"AT1G07440",-17.514491657408,6.74039284800978
"AT1G07450",-152033.438177955,849.284291898346
"AT1G07485",-19.1234549155311,8.19787508269173
"AT1G07520",12.0380993439985,4.44071279519416
"AT1G07620",36953.6998247011,134.952160184524
"AT1G07630",8.85229665450957,5.55127382032479
"AT1G07890",18.9066494106129,8.10435850021543
"AT1G08050",37.9643343110567,5.68992278872319
"AT1G08315",9.95759034062139,4.77274115664017
"AT1G08390",-17.0689536217579,6.9089551266771
"AT1G08450",4881.39945268212,76.0268085096821
"AT1G08630",12.2681806365809,5.03211564557724
"AT1G08660",-69.72062392044,12.9668077353573
"AT1G08860",16.4427308831183,4.99635960267217
"AT1G08920",6.29177574777502,5.69613263753178
"AT1G08930",18.9568203628651,4.40498434422418
"AT1G08940",23.2871328426771,5.96314490540704
"AT1G08980",-6.56467159200605,6.01997809433336
"AT1G09070",12.1542226589946,4.53556352554819
"AT1G09080",10.6524260125298,5.74400530686046
"AT1G09390",-5.19510656899487,5.5975217511522
"AT1G09560",2460.28966554166,39.8618020547625
"AT1G09660",-28440.4728094326,125.727840966282
"AT1G09710",-61.2594454029744,11.9105601090171
"AT1G09932",47.335087371688,5.28622167921298
"AT1G09940",17.6154470417237,4.67582890613947
"AT1G09970",25.9269537078143,5.41258719629075
"AT1G10040",26.4044627799419,5.42864982964615
"AT1G10050",14.5506446406024,5.69894104935949
"AT1G10140",18.3348803444545,5.86803778198408
"AT1G10240",-7502.95889561074,138.565034994448
"AT1G10280",8.15196536116663,5.50184473980967
"AT1G10290",6.68358797544774,5.52531136283367
"AT1G10340",35.6545408560313,4.56046193131934
"AT1G10360",-437.239746488853,19.5381360522815
"AT1G10410",9.80110049892077,6.16855332207676
"AT1G10417",9.99897862224891,6.00393487964226
"AT1G10657",-9.02416520609203,5.97020479898402
"AT1G10700",9.92255145929195,6.60139611327426
"AT1G10760",-7.07862120100958,6.00886195583371
"AT1G10820",-8.32472880253007,5.61385040226191
"AT1G11050",11.3518724874724,4.14885789127467
"AT1G11090",-12.2207281287234,7.19301172697346
"AT1G11100",22.2785552245527,6.56358409825247
"AT1G11200",10.6361186087796,6.70683266409441
"AT1G11310",12.9990445070284,5.20295939423094
"AT1G11330",26.4470513360084,8.16818410300208
"AT1G11410",-10.7130220229489,6.69957631281496
"AT1G11440",-20.3525298320967,7.21442977061235
"AT1G11530",-16.2294735191935,6.75163394743118
"AT1G11700",-17.7377993454951,6.1463691227426
"AT1G11905",17.2178138037447,5.74430606738456
"AT1G12020",-86.964643492994,12.0671416351639
"AT1G12090",-10.5647202392962,6.45612427457592
"AT1G12200",13.1309886713479,5.26434777095038
"AT1G12240",-3.49860161635936,5.23589763660739
"AT1G12244",-19.6419574796729,7.77690339866293
"AT1G12250",-21103.3350428561,153.841089285631
"AT1G12330",-8.46009690161634,5.57783573532691
"AT1G12360",11.5129656272,6.13997653096541
"AT1G12420",14686.4360896787,92.2271632811128
"AT1G12460",-5.79579360490465,5.26853981866509
"AT1G12760",8.17536058145991,5.44023573188584
"AT1G12780",-6.63762859564809,5.8762237123632
"AT1G12820",-5.26319291943412,5.08232365608764
"AT1G12845",-17.3383334364264,7.20078467296393
"AT1G12860",-30.2163700206104,8.23582884104495
"AT1G12900",-11615.7090080379,60.5677077164144
"AT1G13080",-7.19313571574123,5.35571081215362
"AT1G13110",14.4056458611977,5.87738900556912
"AT1G13180",13.2861059523906,5.71214796692353
"AT1G13210",18.0900017538192,4.34248586852491
"AT1G13310",20.6184398870422,5.69535843634663
"AT1G13340",53.1436323254757,6.16291788871554
"AT1G13380",-4.59090177435324,5.72702250550483
"AT1G13470",229.408408553509,12.4241892138562
"AT1G13520",24.1773493127178,6.21994693960442
"AT1G13550",20.337434522109,6.03533032628268
"AT1G13650",-24.5829587981228,6.57372284688786
"AT1G13730",-6822.46067404901,91.2458195722024
"AT1G13860",-45313.8998781892,76.4777004413397
"AT1G13930",-16.242571527418,7.22379253581626
"AT1G14150",-12627.2565623271,69.3297550579931
"AT1G14200",13458.7760854933,99.4149461968293
"AT1G14260",34238.4083211791,116.127960903806
"AT1G14280",-15.2813499365019,6.36318188637986
"AT1G14330",6955.8399124599,61.918318414967
"AT1G14345",-13.0222466868741,6.51024572282982
"AT1G14370",19.538314891714,4.77826403785282
"AT1G14480",18.2770004047178,4.23508987676257
"AT1G14540",45.4540378745706,4.77488309289432
"AT1G14690",-16.1376463195383,7.27052687662284
"AT1G14700",-28.5242699143839,8.18192492028574
"AT1G14740",8.57503142783415,4.34022601677625
"AT1G14840",-10.8733315512517,6.07950173515115
"AT1G14870",43.1074705200491,5.72755167410437
"AT1G14920",-7.77751626513248,5.96520871972019
"AT1G15010",29.2189746055551,4.30953836587178
"AT1G15175",-12758.9394058172,124.690067518835
"AT1G15180",-7345.50672959321,70.6538182317569
"AT1G15260",-14.3007403166721,6.40975112749694
"AT1G15410",-13.8110536956611,7.26031009768462
"AT1G15415",23.9873423863006,5.71598197244762
"AT1G15430",20.9565980490593,5.62619095166486
"AT1G15490",-16814.727061511,32.3266482647234
"AT1G15520",69.6054702824413,6.19721459335779
"AT1G15550",-7.39408425598011,5.54000194992603
"AT1G15670",76621.6442442923,195.921174167129
"AT1G15690",-44.7696169191112,10.519259928628
"AT1G15740",-16.0713193079953,7.65341795799276
"AT1G15790",6.96098637234444,5.62991066093128
"AT1G15800",7.89218809905921,4.89124349016041
"AT1G15820",-21.7776658022552,8.34682245838246
"AT1G16020",-7.95269183607863,6.02539766796179
"AT1G16090",14.6499156521566,4.94391818906512
"AT1G16130",14.1455050152799,3.79612044370094
"AT1G16320",-10.328954275964,6.14102727295555
"AT1G16340",-1644.44756623062,27.2212815607565
"AT1G16420",36.5066038026473,4.62224343343371
"AT1G16515",-11.5234820986363,5.41273235714293
"AT1G16670",18.8786870366051,5.3794270077371
"AT1G16720",-11.183249133069,7.27692786616997
"AT1G16750",-16.5575006998054,7.56941629964148
"AT1G17147",24.0740627918268,4.413512287467
"AT1G17170",23.004168709878,5.80658048781739
"AT1G17200",-12.9950434052793,6.93237957853573
"AT1G17220",-6.75519598990751,6.26020068356811
"AT1G17290",14.2166619128182,5.49206543360408
"AT1G17340",12.3359937231857,4.65930445414762
"AT1G17380",20.7033839292668,5.64615856213448
"AT1G17420",11473.8318041446,128.170118113515
"AT1G17500",18.4662439364572,6.18849206747962
"AT1G17600",14.4265312739349,5.33370276685939
"AT1G17610",13.2692331340645,5.57832974667191
"AT1G17745",9.84607883833346,5.8019330368049
"AT1G17750",29.4529426784998,6.20452866230638
"AT1G17830",10.0570690328512,5.75910840952761
"AT1G17840",-9.90297666970399,6.7452747477143
"AT1G17860",5597.38789232589,93.3958649358561
"AT1G17970",-74.7566725202575,12.9749138746247
"AT1G18060",-24.3359561049154,9.4933116712583
"AT1G18210",21.6366878716374,6.27737615509084
"AT1G18265",-59046.939526961,133.384307550383
"AT1G18300",23.0355027897818,4.66817578290866
"AT1G18330",-7.92695721620584,5.5850386677227
"AT1G18360",-20706.1603064503,95.2118737872795
"AT1G18390",26.5537783756492,5.82257204929039
"AT1G18460",-11.3639262073095,6.7119860356147
"AT1G18570",22.8070863084536,4.47323252304272
"AT1G18620",-10.5251217363854,5.92032151068375
"AT1G18650",-12.1181064558583,6.3579645100794
"AT1G18660",-2456.20605384601,50.5931133364687
"AT1G18710",-2993.43459521402,51.9218251632807
"AT1G18730",-22573.6487087806,141.163253701561
"AT1G18740",7297.47623832685,133.277194862086
"AT1G18773",-7.77709063449783,5.43070448951557
"AT1G18810",-10.5526345813844,5.17438468699591
"AT1G18890",23.8242168492877,5.8776646137847
"AT1G18900",8.96644023878729,4.97314141486953
"AT1G19000",-8.40135262866342,5.89499677764947
"AT1G19020",56.6958811090445,5.52773523368269
"AT1G19150",-7107.61459118597,48.0736284788177
"AT1G19180",48.0548872208321,5.7649276349207
"AT1G19250",63.4475327970094,6.38168968202083
"AT1G19270",14.1830788805646,5.27075107987001
"AT1G19300",33.1637857829741,6.95451712903909
"AT1G19310",23.7504838141501,6.29268394140562
"AT1G19320",6.44738414583196,3.73964199263225
"AT1G19350",-4.49809498294572,5.98515523617067
"AT1G19380",20.2055943059267,4.53830918106307
"AT1G19660",-7.86854742525602,5.99870068579411
"AT1G19670",NA,NA
"AT1G19715",-50.4918751563426,10.766932085773
"AT1G19720",-24176.1264809916,71.2444715520274
"AT1G19770",8.16402607879965,3.75875201131529
"AT1G19920",-6839.31645249925,70.7154175767229
"AT1G20070",-17.9742870384032,5.92074108305136
"AT1G20160",-3.73871677048862,5.9441429134264
"AT1G20190",-11643.1515309147,85.1731771007154
"AT1G20310",22.9565564386322,4.75497303858251
"AT1G20350",13.2284521862845,4.44114354377708
"AT1G20470",-7.70812756367765,4.70655078110231
"AT1G20510",35.2644904352345,6.44001113902916
"AT1G20650",-15.3039452169107,6.24694441869085
"AT1G20780",18.725338318574,5.891663045597
"AT1G20823",3.92585792082575,3.3421548232884
"AT1G21010",7.8310043422376,4.73517448039365
"AT1G21100",18.6325279689722,4.25007047762922
"AT1G21110",25.4159895674644,4.47298320220234
"AT1G21120",40.8032491379999,4.45680037111596
"AT1G21130",9.52267565939011,3.94909118810666
"AT1G21240",48.6478075916455,6.03581893930199
"AT1G21250",1088.25911828434,30.6199810219277
"AT1G21270",13682.6256682796,207.839752771895
"AT1G21310",24755.652764295,144.23815172144
"AT1G21370",15.5558714653491,5.93192492052536
"AT1G21380",13.2440009341147,6.35136179855336
"AT1G21390",34.2294914616328,8.50922556593374
"AT1G21410",-45.4391397358754,10.6689832307107
"AT1G21460",-14.7280510931584,6.17902404291604
"AT1G21520",19.24346513088,6.5790673219988
"AT1G21525",26.7399877857852,5.7451806307376
"AT1G21550",22.5353526076364,4.96776230715016
"AT1G21560",-5314.20478252147,84.5326717658592
"AT1G21600",-46214.6862352231,231.198140928362
"AT1G21680",-15.3900585345146,7.19223675956517
"AT1G21900",23.4232788248868,8.55659855190982
"AT1G21910",11.3032126117337,3.4914838514476
"AT1G21920",-6.37880854667316,5.06195703039781
"AT1G22070",34714.8871709141,336.373634252932
"AT1G22160",-1573.91873697824,29.7588819939703
"AT1G22180",38.941673333292,7.32182829079502
"AT1G22280",15.7300940620854,5.43322728387323
"AT1G22370",-9.5738725427476,5.76233199184062
"AT1G22400",48.3469428072945,5.96052090726203
"AT1G22410",15.7791097900057,5.97899493618415
"AT1G22510",49.4223383423714,9.0113755473718
"AT1G22590",-38258.905636519,137.223599370194
"AT1G22630",-16674.2080431542,103.780843172915
"AT1G22650",17.0499759374797,5.70517824933919
"AT1G22740",-9788.51150588633,51.3411255723572
"AT1G22890",14.1473994192198,5.65674492495647
"AT1G23052",-236.014963018981,19.82609442901
"AT1G23080",-22.038650847949,7.37421347253804
"AT1G23090",5.28113003467134,5.34488936091219
"AT1G23200",8.38691310636598,5.37073039878099
"AT1G23205",-12.4005948428993,5.74507185845987
"AT1G23400",-24.9880029805316,7.7721360420955
"AT1G23440",5.23880027795246,6.11805673471823
"AT1G23550",60.095744836787,9.65693967005172
"AT1G23710",26.7573211677294,5.4390089279491
"AT1G23850",11.9897654032475,5.7178237787739
"AT1G24040",-11595.9466898558,119.30419359119
"AT1G24095",11.097905021955,5.95739341951133
"AT1G24100",NA,NA
"AT1G24140",30.3293537774902,4.38599968524633
"AT1G24145",40.0270607503433,4.91663977570154
"AT1G24147",16.76246088939,5.34562506468709
"AT1G24150",16.8751206352811,4.53948472093789
"AT1G24160",-3.88725668990739,5.49873236751755
"AT1G24450",-5.28180700949393,5.89344974191687
"AT1G24530",9.44136308187467,3.7836326651716
"AT1G24600",12.9649155730492,6.38432456964374
"AT1G24764",-18.4717870231053,8.47946306296586
"AT1G24996",-9787.63156184086,96.0889890648422
"AT1G25220",41.4561481949471,8.1962447439924
"AT1G25230",-12.1029782422231,6.56847747956586
"AT1G25370",9085.15592706454,85.7722771576779
"AT1G25390",8.21690392826903,4.43689680313924
"AT1G25400",20.2123290902826,5.34306012732579
"AT1G25440",-16.8244451093616,6.06770015303524
"AT1G25550",12.2171101570181,4.99914309019132
"AT1G25560",13.9317087543748,4.41112252485774
"AT1G26150",-9.32062024248038,6.35422017036348
"AT1G26180",-20701.2421637727,80.4710921294933
"AT1G26190",-16.8610296002285,8.04208403519259
"AT1G26208",-28.2167685845882,8.78281691309425
"AT1G26210",-4.14233688548976,5.38412793949081
"AT1G26220",-9.43909889875313,6.09796232486959
"AT1G26230",-29.5769300016863,9.10994141006428
"AT1G26380",52.572354027894,5.74756100304065
"AT1G26390",43.7970837706045,6.99414532951429
"AT1G26420",36.2704447115588,6.03017735790656
"AT1G26560",-7.59462062037015,5.68962066027999
"AT1G26650",-7.05023578958447,5.73268337894005
"AT1G26690",6.148621091398,5.69098136453621
"AT1G26761",-25.9567776065245,7.06158805360325
"AT1G26800",173893.687104059,1559.42506932955
"AT1G26920",-10.8995511614684,5.72070992101231
"AT1G26945",-4905.78072182558,41.9606905459485
"AT1G27020",10.2772252459491,5.42586832762887
"AT1G27100",27.5401978173717,6.53290080381457
"AT1G27120",-3.45079810529493,5.58732144563477
"AT1G27330",33.7486022116348,8.54151039700089
"AT1G27480",-56.8344558606347,10.1351372529845
"AT1G27730",43.710247429804,4.53985791270529
"AT1G27770",20.8539202506679,4.12926892870566
"AT1G28100",-6.59116575646284,5.70730880697293
"AT1G28190",29.7279906011226,5.25381317134674
"AT1G28240",8389.67881313775,243.803264547117
"AT1G28280",10.2053404518887,5.80273324400244
"AT1G28310",-10.1860361679217,5.8750893332734
"AT1G28370",40.2867533477536,5.29017458356677
"AT1G28380",17.302310828659,4.79485025787925
"AT1G28390",13.5626809426114,5.8311938533101
"AT1G28480",36.9206189125021,5.5748466199785
"AT1G28570",-36548.06618801,72.428812009701
"AT1G28610",-3664.16891818846,46.6814719753374
"AT1G28670",-4.49523048194504,5.57121918338725
"AT1G29060",6657.36795060464,62.4398301894356
"AT1G29150",3.99598062924636,5.74651746012637
"AT1G29290",34.577013182679,6.13663070877286
"AT1G29330",5.37927873870827,5.69334814632728
"AT1G29340",11.8637582735134,4.6834481984767
"AT1G29390",-3026.38580075852,44.4385172841002
"AT1G29420",-11.5739893213113,5.96456758935142
"AT1G29430",-15.977635552738,5.72125346450522
"AT1G29440",-16.9062687151804,5.62557182655816
"AT1G29450",-12.3427799053703,5.42530790344488
"AT1G29460",-16.902596172561,5.66183833217988
"AT1G29500",-16.4923120274321,5.91699588921953
"AT1G29510",-15.3712084611104,5.73839909604358
"AT1G29530",-29.0873308943663,7.49501917979368
"AT1G29640",14.3344241854043,5.70241392684559
"AT1G29660",-6.90752147493703,5.6843306318851
"AT1G29670",-4.94009096190492,5.7977220566569
"AT1G29690",29.528117723016,5.74774465752345
"AT1G29790",-5.93316455103149,5.89769906688735
"AT1G29950",-28.8670429739965,8.7635700365173
"AT1G30040",32.3972133402396,4.7267027957009
"AT1G30070",5.74798736442981,5.82954487779418
"AT1G30100",3210.36190848928,36.1057221053692
"AT1G30190",12.3672208436518,3.9156631177974
"AT1G30250",-12.590074363767,5.58805016218996
"AT1G30260",-5.37649342107111,4.21490511654478
"AT1G30270",16.3383669848638,5.86397312506202
"AT1G30320",7.42480434379723,5.57001010927496
"AT1G30360",-7.22203467288672,6.13307405097193
"AT1G30370",19.4471838762929,3.91052513956759
"AT1G30520",-20.6370272640952,7.61741462975798
"AT1G30530",-6.23391034467225,5.39172712914769
"AT1G30620",23.5690462742421,5.44279312887508
"AT1G30700",15.4900779055798,4.94400237239594
"AT1G30720",8.6519531466106,4.57199293546162
"AT1G30730",15.2232701190496,5.59462681424698
"AT1G30755",22.086144647514,4.79566547031464
"AT1G30757",23.9149808221299,5.63466284231312
"AT1G30850",23.5306003326751,5.93621866925976
"AT1G30900",24.2322641463627,8.00010737972577
"AT1G31010",12.3812113859638,6.20857170427929
"AT1G31130",13.2551589911097,4.86076943650394
"AT1G31280",8.57403300389418,5.58083682760033
"AT1G31420",-9.80843444789797,6.35049490480506
"AT1G31540",15.4827571976048,4.74756100514645
"AT1G31920",-53.3503652005205,9.73878807787783
"AT1G32060",-36.6876228832246,9.51209229106741
"AT1G32120",30.4746609843078,6.63183322454184
"AT1G32200",-8.18287707035746,6.29073053125321
"AT1G32230",4.63848789068463,5.57615446176221
"AT1G32330",9.92955999110929,6.26454116858681
"AT1G32340",5.54990461469149,5.68740300700715
"AT1G32350",43.7597682458889,6.18698502664281
"AT1G32450",-1720.70910421343,24.5239399679258
"AT1G32460",604.353976591744,34.7185241920799
"AT1G32520",-24.6944757977687,7.44602646026914
"AT1G32540",-11.6426301697371,6.38160158918301
"AT1G32780",-7.26332724426688,5.48889624044612
"AT1G32870",6.78634413084135,5.48936463174602
"AT1G32920",40.0657192370157,4.83334159318097
"AT1G32928",19.5330634093994,4.26933767829793
"AT1G32940",19.5314975088898,5.83361258877313
"AT1G32950",9.49834648181399,5.80290453388177
"AT1G32960",40.6149388078267,5.90734995894316
"AT1G33030",28.5349693354252,5.83043703288899
"AT1G33060",-408.410533321789,24.3228976323168
"AT1G33110",4.66575026565377,5.59466640051737
"AT1G33240",-16.4851794702354,6.39973176855085
"AT1G33400",-7.76799171058888,6.26653023407552
"AT1G33420",8.42191183421919,4.59848643793139
"AT1G33560",15.136707782185,4.8221281320349
"AT1G33590",9.61721831729902,4.573899668783
"AT1G33600",14.6625894750144,4.62936615655486
"AT1G33610",8.07404088704623,4.91323222754651
"AT1G33720",23.4149009876215,5.62398873235551
"AT1G33760",6.36551199766822,3.55207666796054
"AT1G33780",-12.9511604757371,6.40324350649217
"AT1G33800",7.1960409830572,5.96808043557122
"AT1G33960",29706.9279374198,132.696053761531
"AT1G34010",-27500.5053360611,163.633802921363
"AT1G34180",31.9685390050602,8.77977040110546
"AT1G34190",39.7529689426642,10.8922708394181
"AT1G34260",6.18591660880928,4.73818772127708
"AT1G34640",-10.9795723129069,6.24146424484727
